p0N_t1	p0N_c1	p1N_t1	p1N_c1	p2N_t1	p2N_c1	p0P_t1	p0P_c1	p1P_t1	p1P_c1	p2P_t1	p2P_c1
0.12783677261226953	0.1353074610539117	0.07809663811736892	0.12638484006978834	0.06934021887972538	0.09635967512213436	0.3587133996359529	0.4490247398229008	0.34314092542949504	0.18390586728944233	0.022872045325188082	0.0090174166418225
0.13363541982383775	0.14190524335841034	0.07774196990442493	0.13273309171344158	0.06552804651168913	0.09864520450996654	0.3581731542355548	0.43358012891400616	0.343317092892589	0.1834983857229172	0.021604316631904378	0.00963794578125821
0.13253769325486014	0.13631710719869938	0.08153026111570685	0.12733637620851632	0.068509410259665	0.09445256052122829	0.3612782854448792	0.44647524198639277	0.3312694651911294	0.18674082367505557	0.024874884733759456	0.0086778904101079
0.12654303734872754	0.1279940496199035	0.0769968798969265	0.13503579587189854	0.07357632666644091	0.10752216937593852	0.3506789394075693	0.43684974953449734	0.34877703349091227	0.18415773021519324	0.02342778318942341	0.008440505382568823
0.12348164456578734	0.14026403309612534	0.07617572283464275	0.12949293032543108	0.06607569996828871	0.10001561768102595	0.3640726026406091	0.4378920321066948	0.343443843132874	0.18311760012317024	0.026750486857798194	0.009217786667552616
0.13391685104115775	0.1380820159573464	0.07743436609246504	0.1260665130152338	0.06677219983019661	0.10104427212560704	0.3467366916348131	0.4471419539331916	0.3510158003025604	0.17730601695987303	0.024124091098806984	0.010359228008748085
0.12512656454758347	0.13433139135113126	0.07902094259308466	0.1360565512663531	0.07323943851667007	0.10312916167538555	0.35424897076954165	0.43290542051123737	0.3467044270097059	0.18517515136548351	0.021659656563414308	0.008402323830409272
0.1241215671133878	0.1448276043078796	0.07761883061527672	0.11508900099893771	0.06977156040605867	0.09633825457714618	0.3686380930953894	0.4574782104249024	0.3362661512697223	0.17632758585831054	0.02358379750016499	0.009939343832823591
0.13047047790347652	0.13374966895863505	0.07956405599351316	0.1299033563051799	0.06175182109099759	0.0944738538909576	0.357650894038353	0.4484634611718134	0.3477041443111553	0.18346390725143463	0.02285860666250452	0.009945752421979455
0.12688936418468644	0.12476971043771386	0.07979518965818524	0.12588836364323222	0.06791904361883198	0.10337578179245842	0.35104347570796285	0.4563734973158572	0.35236546694886905	0.1807423189364839	0.021987459881464312	0.00885032787425442
0.12536638932629604	0.12835784787552637	0.0809740341963052	0.1295625090485405	0.07584802212446182	0.09848421355095326	0.3591813168486349	0.45417218522115216	0.3379137790778286	0.17961938503333558	0.020716458426473447	0.00980385927049207
0.12276466548391389	0.1289973189883726	0.08074855650027767	0.1232835549275345	0.0695948259490841	0.10064283009395555	0.3609411923363337	0.45480539737841214	0.3439281000394542	0.18323648588277197	0.022022659690936527	0.009034412728953176
0.12714809502986119	0.1439524894526411	0.07296334586077238	0.12259826046828087	0.07160167431548037	0.0948047295051718	0.3652152986293104	0.44595380991950834	0.3407077204433878	0.18211862412249893	0.022363865721187818	0.010572086531899103
0.12384973983194425	0.1333118992513112	0.08240689451395619	0.1325499586992946	0.07303285473911823	0.10474896464799803	0.3587664328408404	0.431923622569659	0.3421935785380846	0.18999820443427531	0.019750499536056402	0.007467350397461806
0.125936271192701	0.1335008487865239	0.07676559026562013	0.12854367190659213	0.0661590016076324	0.0898517462126403	0.35764186937063697	0.45216346887769326	0.35035575368427563	0.1894336618682796	0.02314151387913398	0.0065066023482707736
0.14289184417201076	0.1367447788741896	0.08993557850771004	0.13233431097105924	0.06713857740604215	0.0975401411355483	0.34304091536399234	0.44909686556021833	0.33086245985892443	0.17651873149343505	0.02613062469132016	0.007765171965549446
0.13898106981714298	0.13697047495077366	0.0782418491930505	0.13017760057872454	0.06590786869156486	0.08975079909030517	0.35735254675689476	0.449657207439082	0.33652438854371125	0.18595065489819224	0.022992276997635595	0.007493263042922463
0.14038831318219558	0.14660324720200602	0.07873312715515694	0.12182546329254719	0.06504762235995667	0.09326821244206733	0.35659896729208546	0.45555719896487323	0.3341238402073404	0.17311753843284894	0.025108129803264902	0.009628339665657317
0.12435838824092699	0.140758809307608	0.0770563000000677	0.1284372446785604	0.06618540140951674	0.09163078806953502	0.3552829395415319	0.4453869326964388	0.35496450671457525	0.1846632130359415	0.022152464093381456	0.009123012211916163
0.12622886543136452	0.14305427216167946	0.0780065552615655	0.12642422622434463	0.06559262911563002	0.09183060614553695	0.36693026779050814	0.4430946619636975	0.34356971215197507	0.18677901414349973	0.019671970248956696	0.008817219361241607
0.131609368688481	0.14037489509279721	0.07412890422105994	0.11986888629947705	0.07254744222052613	0.09440743876701027	0.3690169892095175	0.456274586807941	0.33250184583464615	0.18195111204467024	0.020195449825769235	0.007123080988104289
0.1398810124546228	0.14064686531965762	0.08459651941950838	0.13037464788989064	0.06973888711307787	0.09267484675301856	0.3524948038348947	0.44932930641715	0.32659604174002044	0.17993540621610118	0.026692735437875804	0.00703892740418192
0.13273576872205647	0.13483189486228842	0.0863250319336647	0.13308830500952393	0.07904706889925675	0.10232906121060643	0.34153266756640693	0.44083010847788595	0.3354704783222123	0.17925936407616472	0.024888984556402958	0.009661266363530551
0.1262229912212102	0.13231671859424587	0.07478652510027704	0.12651888027437014	0.06624907740234116	0.09758618525976737	0.3677436450086655	0.45321334176775774	0.3449703008891389	0.18310128150553398	0.020027460378367265	0.007263592598324892
0.12998424134348888	0.1321649206763219	0.07122690225590268	0.11915688185370055	0.0751898893627809	0.10390312412650392	0.3610943939745881	0.44303661896557556	0.3415168574833496	0.19243836799327987	0.02098771557988982	0.00930008638461818
0.12652392975817736	0.13323222506531102	0.0896733673810202	0.125591879332561	0.07140029615328465	0.0940874474501422	0.3583417206257337	0.44735107090885357	0.3353945358778314	0.19034328408210208	0.01866615020395258	0.009394093161030136
